commit	val_bpb	memory_gb	status	description
383abb4	2.667000	26.9	keep	baseline (AdamW, default config)
c67ad2a	2.695369	26.9	discard	lower weight decay to 0.1
909dd59	2.588904	26.9	keep	halve total batch size to 2^16
4161af3	2.533728	26.9	keep	increase matrix LR to 0.04
5efc7aa	1.807902	20.7	keep	reduce depth from 8 to 4
ba6ebf6	1.803905	21.2	keep	local M3 Max baseline (public AdamW train.py)
f555d09	1.801391	21.2	keep	set WINDOW_PATTERN to L
1bcaf98	1.319803	21.2	keep	port Muon optimizer
29a6812	1.294638	26.4	keep	cast residual scalars to hidden dtype; align mask dtype for bf16 path
0e920d5	1.264562	26.4	keep	refresh E0 baseline on autoresearch/mar22-lfm2-wide
a614c88	1.260271	26.4	keep	E1 refactor parity check (AAAA, relu2)
a614c88	1.254662	26.7	keep	E2 SwiGLU baseline (AAAA, swiglu)
a614c88	1.246462	26.7	keep	E3 conv sweep winner (CACA, swiglu)
a614c88	1.279187	26.7	discard	E4 conv sweep (CCAC, swiglu)
a614c88	1.268084	26.7	discard	E5 conv sweep (CCCA, swiglu)
ca60686	1.248442	26.8	discard	E6 depth-6 CACACA swiglu (k=3)
ca60686	1.243164	26.8	keep	E7 depth-6 CACACA swiglu (k=5)
